gov_name_f,gov_id,Etablissement,Nature,Programme,Cadre_d_activite,Nbr_de_manifestations,Nbr_activite,Sub_ministere_Directe,Sub_ministere_indirecte,Sub_commissariat_Directe,Sub_commissariat_indirecte,Sub__structures_directe,Sub__structures_indirecte,sub_autres_parties_publiques,sub_autres_parties_prives,Nbr_d_abonnes,Capacite_operationnelle_directe,Capacite_operationnelle_indirecte
Sousse,31,دار الثقافة حمام سوسة,دور ثقافة ومركبات ثقافية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,1,30,0,0,0,0,0,0,0,0,5000,0,0
Sousse,31,المكتبة العموميّة بسيدي بوعلي,مكتبات عمومية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,12,29,0,700,0,0,0,0,0,0,800,0,10
Sousse,31,المكتبة العموميّة هرقلة,مكتبات عمومية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,12,50,0,5450,0,0,0,0,0,0,1580,0,0
Sousse,31,المكتبة العموميّة النفيضة,مكتبات عمومية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,15,22,0,1150,0,0,0,0,0,0,650,0,0
Sousse,31,المكتبة العموميّة بأكودة,مكتبات عمومية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,21,29,0,2325,0,0,0,0,0,0,703,0,20
Sousse,31,المكتبة العموميّة سهلول,مكتبات عمومية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,13,31,0,2905,0,0,0,0,0,0,1236,0,0
Sousse,31,المكتبة العموميّة القلعة الصغرى,مكتبات عمومية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,20,21,0,1184,0,0,0,0,0,0,2445,0,0
Sousse,31,المكتبة العموميّة للأطفال بحمام سوسة,مكتبات عمومية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,21,21,0,154724,0,0,0,0,0,0,300,0,30
Sousse,31,المكتبة العموميّة للأطفال بالنفيضة,مكتبات عمومية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,4,20,0,0,0,0,0,0,0,0,435,0,150
Sousse,31,المكتبة العموميّة للأطفال بالقلعة الكبرى,مكتبات عمومية,تونس مدن الآداب والكتاب,المؤسسات الثقافية العمومية  ,9,21,0,0,0,0,0,0,0,0,591,0,500
