N° de la ligne;N° de station;Nom de station;Longitude;Latitude
25B;21;STEG NASSEN;10.224288068711758;36.715405140800364
25B;22;CITÉ BELLILE;10.227562375366688;36.709693191027235
25B;23;NAASSEN 1;10.232862420380116;36.703104516098776
25B;24;NAASSEN 2;10.231980853714049;36.701626845145334
25B;25;CITÉ MEKKI;10.228367918170989;36.69564181421935
25B;26;FERME AMOR TOUIL;10.225308313965797;36.690712395917174
25B;27;CITÉ BOUNAOUARA;10.221706714946777;36.68429334829161
25B;28;DOUAR HOUCH;10.21928264759481;36.680172199353606
25B;29;TEXTILE;10.216737859882414;36.675801642978335
25B;30;CAFÉ REBAI;10.214715474285185;36.67244998999548
25B;31;HUILERIE SADIRA;10.205638753250241;36.66142536578282
25B;32;FERME VIGNOBLE;10.20231792703271;36.65746085766898
25B;33;OUED MELIANE;10.199871752411127;36.65342412629002
25B;34;CITÉ BRAIEK;10.198337528854609;36.648397282204286
25B;35;KHLÉDIA GARE;10.194775806739926;36.64598387429001
25B;36;KHLÉDIA;10.192163460887969;36.64386465726668
25B;37;STEG KHLIDIA;10.198884699493647;36.63371943020876
25B;38;BIR JEDDID 1;10.201357947662473;36.638335144007236
25B;39;BIR JEDDID 2;10.203390810638666;36.638411481721505
25B (Retour);1;BIR JEDDID 2;10.203390810638666;36.638411481721505
25B (Retour);2;BIR JEDDID 1;10.201357947662473;36.638335144007236
25B (Retour);3;STEG KHLIDIA;10.198884699493647;36.63371943020876
25B (Retour);4;KHLÉDIA;10.192163460887969;36.64386465726668
25B (Retour);5;KHLÉDIA GARE;10.194775806739926;36.64598387429001
25B (Retour);6;CITÉ BRAIEK;10.198337528854609;36.648397282204286
25B (Retour);7;OUED MELIANE;10.199871752411127;36.65342412629002
25B (Retour);8;FERME VIGNOBLE;10.20231792703271;36.65746085766898
25B (Retour);9;HUILERIE SADIRA;10.205638753250241;36.66142536578282
25B (Retour);10;CAFÉ REBAI;10.214715474285185;36.67244998999548
25B (Retour);11;TEXTILE;10.216737859882414;36.675801642978335
25B (Retour);12;DOUAR HOUCH;10.21928264759481;36.680172199353606
25B (Retour);13;CITÉ BOUNAOUARA;10.221706714946777;36.68429334829161
25B (Retour);14;FERME AMOR TOUIL;10.225308313965797;36.690712395917174
25B (Retour);15;CITÉ MEKKI;10.228367918170989;36.69564181421935
25B (Retour);16;NAASSEN 2;10.231980853714049;36.701626845145334
25B (Retour);17;NAASSEN 1;10.232862420380116;36.703104516098776
25B (Retour);18;CITÉ BELLILE;10.227562375366688;36.709693191027235
25B (Retour);19;STEG NASSEN;10.224288068711758;36.715405140800364
25B (Retour);20;MOUROUJ 3;10.223093312233686;36.72045515373588
