Code_BR,Categorie_Aderant,Code_Regime,Annees,Nombre
13,TNS,381,2022,1
14,TNS,381,2022,34
16,TNS,381,2022,0
17,TNS,381,2022,3
18,TNS,381,2022,14
19,TNS,381,2022,1
20,TNS,381,2022,1
22,TNS,381,2022,7
23,TNS,381,2022,4
24,TNS,381,2022,2
25,TNS,381,2022,10
28,TNS,381,2022,7
29,TNS,381,2022,0
30,TNS,381,2022,2
31,TNS,381,2022,1
34,TNS,381,2022,1
36,TNS,381,2022,1
37,TNS,381,2022,0
38,TNS,381,2022,0
40,TNS,381,2022,2
43,TNS,381,2022,9
46,TNS,381,2022,22
47,TNS,381,2022,1
48,TNS,381,2022,1
49,TNS,381,2022,3
50,TNS,381,2022,1
51,TNS,381,2022,15
52,TNS,381,2022,9
53,TNS,381,2022,71
54,TNS,381,2022,87
55,TNS,381,2022,560
56,TNS,381,2022,206
58,TNS,381,2022,4
61,TNS,381,2022,0
62,TNS,381,2022,0
64,TNS,381,2022,11
67,TNS,381,2022,12
69,TNS,381,2022,1
70,TNS,381,2022,125
71,TNS,381,2022,320
72,TNS,381,2022,298
73,TNS,381,2022,1
74,TNS,381,2022,0
80,TNS,381,2022,4
81,TNS,381,2022,6
82,TNS,381,2022,170
83,TNS,381,2022,8
84,TNS,381,2022,8
85,TNS,381,2022,3
86,TNS,381,2022,148
10,TNS,382,2022,1
12,TNS,382,2022,1
13,TNS,382,2022,0
14,TNS,382,2022,3
16,TNS,382,2022,6
