gov_name_f,gov_name_a,gov_id,Nom_du_site,Nom_monument,Dtae,Latitude,Longitude,,
Tunis,تونس,11,مدينة تونس,زاوية سيدى عبد القادر,13/03/1912,"36°47'58.82""N","10°10'13.07""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي ابراهم التركي,16/11/1928,"36°48'9.92""N","10°10'4.99""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي ابراهيم الرياحي,25/01/1922,"36°48'9.66""N","10°10'4.83""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي الباهي,25/01/1922,"36°48'30.87""N","10° 9'49.66""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي الحاري,25/01/1922,"36°48'3.73""N","10°10'7.99""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي الزواوي,13/03/1912,"36°47'36.68""N","10° 9'50.15""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي العصفوري,16/11/1928,"36°47'49.96""N","10°10'16.03""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي الكلاعي,16/11/1928,"36°47'51.91""N","10°10'13.93""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي بن عروس,16/11/1928,"36°47'52.45""N","10°10'13.84""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي شيحة,25/01/1922,"36°48'27.91""N","10° 9'59.82""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي عبد الله الشريف نهج ابن السراج ,31/08/1999,"36°47'50.14""N","10°10'16.11""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي علي عزوز,25/01/1922,"36°47'49.74""N","10°10'23.92""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي قاسم الجليزي,13/03/1912,"36°47'36.60""N","10° 9'49.69""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي محرز,13/03/1912,"36°48'16.81""N","10°10'7.96""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي معاوية,16/11/1928,"36°47'56.24""N","10°10'8.21""E",,
Tunis,تونس,11,مدينة تونس,زاوية سيدي منصور 16 نهج الراية ,18/05/1999,"36°47'31.64""N","10°10'35.52""E",,
Tunis,تونس,11,مدينة تونس,سبيل سيدي عبدالسلام,03/03/1915,"36°48'34.59""N","10° 9'53.63""E",,
Tunis,تونس,11,مدينة تونس,فندق الفرنسيس,25/01/1922,"36°48'1.67""N","10°10'27.65""E",,
Tunis,تونس,11,مدينة تونس,قشلة سيدي المرجاني,25/01/1922,"36°47'52.40""N","10°10'20.71""E",,
