OBJECTID_1;OBJECTID;Code_Fiche;nb_annee;Code_Ligne;Pk;libelle;code_famil;code_sous_;Code_immob;Date_Aquis;Date_MS;Amrt_Cumul;Montant_br;Date_affec;Dt_Cession;emplacemen;nat_dos;dossier;Zone;direction;etat_resea;inventoria;PK_PN;Code_PN;Etat;X;Y;Code_Categ;Code_mere;Unite_d_af;Caracteris;Detail_emp
139;500;16808;1;6;15,507;PASSAGE A NIVEAU PK 15+507 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020073;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;15.507;P 1048;Nouveau;10.1980729317;36.6482247172; ; ;0; ;0
140;198;16854;1;5;46,143;PASSAGE A NIVEAU PK 46+143 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020040;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;46.143;P 1056;Nouveau;10.5430563673;36.5398342367; ; ;0; ;0
141;208;16864;1;5;62,102;PASSAGE A NIVEAU PK 62+102 SECTION  C028 LIGNE 5 Double Voie;22251110;22251110;251020050;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;62.102;P 1074;Nouveau;10.5554258119;36.4128011221; ; ;0; ;0
142;614;17999;1;6;52,084;PASSAGE A NIVEAU PK 52+084 SECTION  C048 LIGNE 6 Voie Unique;22251110;22251110;251020376;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;52.084;P 1075;Nouveau;9.97250303471;36.413520203; ; ;0; ;0
143;727;16909;20;7;10,342;PASSAGE A NIVEAU PK 10+342 SECTION  C059 LIGNE 7 Double Voie;22251110;22251110;251020094;1976-11-01T00:00:00.000;1976-11-01T00:00:00.000;29656.746;29656.746;;;C;11;140;2;0;E;1;10.342;P 1080;Nouveau;10.2982526939;36.8074798315; ; ;0; ;0
144;400;20111;20;5;49,463;PN AU PK 49+463 , L 5;22251110;22251110;251800432;2007-01-01T00:00:00.000;2007-01-01T00:00:00.000;2542.732;5650.482;;;C;11;527;2;0;E;1;49.463;P 1081;Nouveau;10.5628631484;36.5147803508; ; ;0; ;0
145;546;17177;1;6;89,36;PASSAGE A NIVEAU PK 89+360 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020403;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;89.36;P 1082;Nouveau;9.58339455409;36.3677634529; ; ;0; ;0
146;513;16821;1;6;29,3;PASSAGE A NIVEAU PK 29+300 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020086;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;29.3;P 1088;Nouveau;10.0791809071;36.5713318038; ; ;0; ;0
147;529;17080;1;6;63,565;PASSAGE A NIVEAU PK 63+565 SECTION  C049 LIGNE 6 Voie Unique;22251110;22251110;251020385;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;4;0;E;1;63.565;P 1108;Nouveau;9.86546699508;36.3639538996; ; ;0; ;0
148;169;16467;20;5;9,607;PASSAGE A NIVEAU PK 9+607 SECTION  C024 LIGNE 5 triple Voie;22251110;22251110;251020010;1977-01-01T00:00:00.000;1977-01-01T00:00:00.000;49937.616;49937.616;;;C;11;297;2;0;E;1;9.607;P 1112;Nouveau;10.2732171719;36.7689644509; ; ;0; ;0
149;506;16814;1;6;19,489;PASSAGE A NIVEAU PK 19+489 SECTION  C043 LIGNE 6 Voie Unique;22251110;22251110;251020079;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;19.489;P 1115;Nouveau;10.1613129315;36.6281392896; ; ;0; ;0
150;645;18497;20;6;104;PN PK 104+040 , L 6;22251110;22251110;251800967;2010-03-01T00:00:00.000;2010-03-01T00:00:00.000;49267.856;168773.04;;;C;11;527;4;0;E;1;104;P 1119;Nouveau;9.42446437672;36.3774726263; ; ;0; ;0
151;214;16870;1;5;67,19;PASSAGE A NIVEAU PK 67+190 SECTION  C029 LIGNE 5 Double Voie;22251110;22251110;251020056;1979-01-01T00:00:00.000;1979-01-01T00:00:00.000;1;1;;;C;11;0;2;0;E;1;67.19;P 1131;Nouveau;10.505983322;36.3912549416; ; ;0; ;0
152;413;21612;20;5;65,176;PN PK 65+176 , L 5;22251110;22251110;251800938;2009-02-01T00:00:00.000;2009-02-01T00:00:00.000;71163.26;205820.781;;;C;11;527;2;0;E;1;65.176;P 1138;Nouveau;10.5249657687;36.4002027369; ; ;0; ;0
153;175;16473;20;5;17,066;PASSAGE A NIVEAU PK 17+066 SECTION  C024 LIGNE 5 Double Voie;22251110;22251110;251020016;1975-01-01T00:00:00.000;1975-01-01T00:00:00.000;24968.808;24968.808;;;C;11;297;2;0;E;1;17.066;P 1142;Nouveau;10.3383117773;36.7276664955; ; ;0; ;0
154;521;16875;20;6;6,563;PASSAGE A NIVEAU PK 6+563 SECTION  C042 LIGNE 6 Double Voie;22251110;22251110;251020062;1978-01-01T00:00:00.000;1978-01-01T00:00:00.000;21396.63;21396.63;;;C;11;297;2;0;E;1;6.563;P 1145;Nouveau;10.2338573208;36.7214505272; ; ;0; ;0
