FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,RTE_,RTE_ID,RTE_MAN_,RTE_MAN_ID,RTE_NOM,RTE_TYP,long_piste
"0","0","0","0",1280.33814,"0","0","0","0",,P,"1"
"0","0","0","0",575.18920,"0","0","0","0",,P,"1"
"0","0","0","0",222.04951,"0","0","0","0",,P,"0"
"0","0","0","0",119.98153,"0","0","0","0",,P,"0"
"0","0","0","0",147.55066,"0","0","0","0",,P,"0"
"0","0","0","0",176.30843,"0","0","0","0",,P,"0"
"0","0","0","0",360.89812,"0","0","0","0",,P,"0"
"0","0","0","0",437.28534,"0","0","0","0",,P,"0"
"0","0","0","0",1388.50762,"0","0","0","0",,P,"1"
"0","0","0","0",165.95585,"0","0","0","0",,P,"0"
"0","0","0","0",320.89027,"0","0","0","0",,P,"0"
"0","0","0","0",195.70165,"0","0","0","0",,P,"0"
"0","0","0","0",239.70659,"0","0","0","0",,P,"0"
"0","0","0","0",87.11655,"0","0","0","0",,P,"0"
"0","0","0","0",132.88480,"0","0","0","0",,P,"0"
"0","0","0","0",252.10081,"0","0","0","0",,P,"0"
"0","0","0","0",137.65199,"0","0","0","0",,P,"0"
"0","0","0","0",810.44050,"0","0","0","0",,P,"1"
"0","0","0","0",91.68661,"0","0","0","0",,P,"0"
"0","0","0","0",88.90379,"0","0","0","0",,P,"0"
"0","0","0","0",1608.24205,"0","0","0","0",,P,"2"
"0","0","0","0",45.04267,"0","0","0","0",,P,"0"
"0","0","0","0",370.48658,"0","0","0","0",,P,"0"
"0","0","0","0",544.88843,"0","0","0","0",,P,"1"
"0","0","0","0",108.37596,"0","0","0","0",,P,"0"
"0","0","0","0",136.43269,"0","0","0","0",,P,"0"
"0","0","0","0",745.50165,"0","0","0","0",,P,"1"
"0","0","0","0",308.16980,"0","0","0","0",,P,"0"
"0","0","0","0",345.78566,"0","0","0","0",,P,"0"
"0","0","0","0",1831.96871,"0","0","0","0",,P,"2"
"0","0","0","0",2331.59912,"0","0","0","0",,P,"2"
"0","0","0","0",418.20347,"0","0","0","0",,P,"0"
"0","0","0","0",120.23032,"0","0","0","0",,P,"0"
"0","0","0","0",842.64762,"0","0","0","0",,P,"1"
"0","0","0","0",360.12950,"0","0","0","0",,P,"0"
"0","0","0","0",658.85521,"0","0","0","0",,P,"1"
"0","0","0","0",373.63012,"0","0","0","0",,P,"0"
"0","0","0","0",402.90862,"0","0","0","0",,P,"0"
"0","0","0","0",959.36125,"0","0","0","0",,P,"1"
"0","0","0","0",337.13700,"0","0","0","0",,P,"0"
"0","0","0","0",897.50994,"0","0","0","0",,P,"1"
"0","0","0","0",78.51614,"0","0","0","0",,P,"0"
"0","0","0","0",490.45723,"0","0","0","0",,P,"0"
"0","0","0","0",470.62563,"0","0","0","0",,P,"0"
"0","0","0","0",1253.88502,"0","0","0","0",,P,"1"
"0","0","0","0",236.94021,"0","0","0","0",,P,"0"
"0","0","0","0",246.91130,"0","0","0","0",,P,"0"
"0","0","0","0",1308.79212,"0","0","0","0",,P,"1"
"0","0","0","0",151.00096,"0","0","0","0",,P,"0"
"0","0","0","0",299.57271,"0","0","0","0",,P,"0"
"0","0","0","0",322.97692,"0","0","0","0",,P,"0"
"0","0","0","0",149.22302,"0","0","0","0",,P,"0"
"0","0","0","0",296.29167,"0","0","0","0",,P,"0"
"0","0","0","0",830.82461,"0","0","0","0",,P,"1"
"0","0","0","0",152.61210,"0","0","0","0",,P,"0"
"0","0","0","0",116.28618,"0","0","0","0",,P,"0"
"0","0","0","0",166.60291,"0","0","0","0",,P,"0"
"0","0","0","0",1027.37549,"0","0","0","0",,P,"1"
"0","0","0","0",140.21972,"0","0","0","0",,P,"0"
"0","0","0","0",273.74737,"0","0","0","0",,P,"0"
"0","0","0","0",285.74916,"0","0","0","0",,P,"0"
"0","0","0","0",323.83698,"0","0","0","0",,P,"0"
"0","0","0","0",124.52737,"0","0","0","0",,P,"0"
"0","0","0","0",446.07958,"0","0","0","0",,P,"0"
"0","0","0","0",96.10574,"0","0","0","0",,P,"0"
"0","0","0","0",511.91743,"0","0","0","0",,P,"1"
"0","0","0","0",486.12962,"0","0","0","0",,P,"0"
"0","0","0","0",852.34276,"0","0","0","0",,P,"1"
"0","0","0","0",320.57989,"0","0","0","0",,P,"0"
"0","0","0","0",738.24769,"0","0","0","0",,P,"1"
"0","0","0","0",534.96841,"0","0","0","0",,P,"1"
"0","0","0","0",893.87557,"0","0","0","0",,P,"1"
"0","0","0","0",89.74024,"0","0","0","0",,P,"0"
"0","0","0","0",182.78627,"0","0","0","0",,P,"0"
"0","0","0","0",536.55023,"0","0","0","0",,P,"1"
"0","0","0","0",177.10463,"0","0","0","0",,P,"0"
"0","0","0","0",1004.43310,"0","0","0","0",,P,"1"
"0","0","0","0",1778.09705,"0","0","0","0",,P,"2"
"0","0","0","0",56.66252,"0","0","0","0",,P,"0"
"0","0","0","0",207.24890,"0","0","0","0",,P,"0"
"0","0","0","0",182.03731,"0","0","0","0",,P,"0"
"0","0","0","0",216.82242,"0","0","0","0",,P,"0"
"0","0","0","0",328.93573,"0","0","0","0",,P,"0"
"0","0","0","0",491.03476,"0","0","0","0",,P,"0"
"0","0","0","0",280.03611,"0","0","0","0",,P,"0"
"0","0","0","0",750.51378,"0","0","0","0",,P,"1"
"0","0","0","0",214.79835,"0","0","0","0",,P,"0"
"0","0","0","0",1414.83424,"0","0","0","0",,P,"1"
"0","0","0","0",69.22649,"0","0","0","0",,P,"0"
"0","0","0","0",40.55210,"0","0","0","0",,P,"0"
"0","0","0","0",68.46013,"0","0","0","0",,P,"0"
"0","0","0","0",471.26524,"0","0","0","0",,P,"0"
"0","0","0","0",616.30597,"0","0","0","0",,P,"1"
"0","0","0","0",237.52115,"0","0","0","0",,P,"0"
"0","0","0","0",677.74611,"0","0","0","0",,P,"1"
"0","0","0","0",202.52835,"0","0","0","0",,P,"0"
"0","0","0","0",92.35060,"0","0","0","0",,P,"0"
"0","0","0","0",33.52244,"0","0","0","0",,P,"0"
"0","0","0","0",714.57134,"0","0","0","0",,P,"1"
"0","0","0","0",2117.58574,"0","0","0","0",,P,"2"
"0","0","0","0",549.22924,"0","0","0","0",,P,"1"
"0","0","0","0",671.16647,"0","0","0","0",,P,"1"
