annee_scolaire;Ordre_CRE;Nom_CRE;Niveau_scolaire;Nb_classes_eleve
2021/2022;10;Siliana;4ème année secondaire Economie et Gestion;29
2021/2022;10;Siliana;4ème année secondaire Sport ;1
2021/2022;11;Le Kef;7ème année de base;146
2021/2022;11;Le Kef;8ème année de base;130
2021/2022;11;Le Kef;9ème année de base;126
2021/2022;11;Le Kef;1ère année secondaire Tronc commun;126
2021/2022;11;Le Kef;1ère année secondaire Sport;2
2021/2022;11;Le Kef;2ème année secondaire Lettres;33
2021/2022;11;Le Kef;2ème année secondaire Sciences;40
2021/2022;11;Le Kef;2ème année secondaire Technologie informatique;7
2021/2022;11;Le Kef;2ème année secondaire Economie et services;25
2021/2022;11;Le Kef;2ème année secondaire Sport;1
2021/2022;11;Le Kef;3ème année secondaire Lettres;30
2021/2022;11;Le Kef;3ème année secondaire Mathématiques;5
2021/2022;11;Le Kef;3ème année secondaire Sc. Expérimentales;23
2021/2022;11;Le Kef;3ème année secondaire Sc.Techniques;18
2021/2022;11;Le Kef;3ème année secondaire Sc.Informatique;4
2021/2022;11;Le Kef;3ème année secondaire Economie et Gestion;26
2021/2022;11;Le Kef;3ème année secondaire Sport ;1
2021/2022;11;Le Kef;4ème année secondaire Lettres;44
2021/2022;11;Le Kef;4ème année secondaire Mathématiques;6
2021/2022;11;Le Kef;4ème année secondaire Sc. Expérimentales;30
2021/2022;11;Le Kef;4ème année secondaire Sc.Techniques;22
2021/2022;11;Le Kef;4ème année secondaire Sc.Informatique;7
2021/2022;11;Le Kef;4ème année secondaire Economie et Gestion;29
2021/2022;11;Le Kef;4ème année secondaire Sport ;2
2021/2022;12;Kasserine;7ème année de base;328
2021/2022;12;Kasserine;8ème année de base;249
2021/2022;12;Kasserine;9ème année de base;214
2021/2022;12;Kasserine;1ère année secondaire Tronc commun;218
2021/2022;12;Kasserine;1ère année secondaire Sport;2
2021/2022;12;Kasserine;2ème année secondaire Lettres;53
2021/2022;12;Kasserine;2ème année secondaire Sciences;66
2021/2022;12;Kasserine;2ème année secondaire Technologie informatique;14
2021/2022;12;Kasserine;2ème année secondaire Economie et services;37
2021/2022;12;Kasserine;2ème année secondaire Sport;2
2021/2022;12;Kasserine;3ème année secondaire Lettres;48
2021/2022;12;Kasserine;3ème année secondaire Mathématiques;10
2021/2022;12;Kasserine;3ème année secondaire Sc. Expérimentales;42
2021/2022;12;Kasserine;3ème année secondaire Sc.Techniques;17
2021/2022;12;Kasserine;3ème année secondaire Sc.Informatique;11
2021/2022;12;Kasserine;3ème année secondaire Economie et Gestion;42
2021/2022;12;Kasserine;3ème année secondaire Sport ;2
2021/2022;12;Kasserine;4ème année secondaire Lettres;60
2021/2022;12;Kasserine;4ème année secondaire Mathématiques;11
2021/2022;12;Kasserine;4ème année secondaire Sc. Expérimentales;45
2021/2022;12;Kasserine;4ème année secondaire Sc.Techniques;17
2021/2022;12;Kasserine;4ème année secondaire Sc.Informatique;10
2021/2022;12;Kasserine;4ème année secondaire Economie et Gestion;41
2021/2022;12;Kasserine;4ème année secondaire Sport ;4
2021/2022;13;Sidi Bouzid;7ème année de base;325
2021/2022;13;Sidi Bouzid;8ème année de base;251
2021/2022;13;Sidi Bouzid;9ème année de base;215
2021/2022;13;Sidi Bouzid;1ère année secondaire Tronc commun;198
2021/2022;13;Sidi Bouzid;1ère année secondaire Sport;2
2021/2022;13;Sidi Bouzid;2ème année secondaire Lettres;41
2021/2022;13;Sidi Bouzid;2ème année secondaire Sciences;64
2021/2022;13;Sidi Bouzid;2ème année secondaire Technologie informatique;15
2021/2022;13;Sidi Bouzid;2ème année secondaire Economie et services;45
2021/2022;13;Sidi Bouzid;2ème année secondaire Sport;2
2021/2022;13;Sidi Bouzid;3ème année secondaire Lettres;41
2021/2022;13;Sidi Bouzid;3ème année secondaire Mathématiques;8
2021/2022;13;Sidi Bouzid;3ème année secondaire Sc. Expérimentales;33
2021/2022;13;Sidi Bouzid;3ème année secondaire Sc.Techniques;28
2021/2022;13;Sidi Bouzid;3ème année secondaire Sc.Informatique;6
2021/2022;13;Sidi Bouzid;3ème année secondaire Economie et Gestion;44
2021/2022;13;Sidi Bouzid;3ème année secondaire Sport ;2
2021/2022;13;Sidi Bouzid;4ème année secondaire Lettres;51
2021/2022;13;Sidi Bouzid;4ème année secondaire Mathématiques;5
2021/2022;13;Sidi Bouzid;4ème année secondaire Sc. Expérimentales;35
2021/2022;13;Sidi Bouzid;4ème année secondaire Sc.Techniques;32
2021/2022;13;Sidi Bouzid;4ème année secondaire Sc.Informatique;6
2021/2022;13;Sidi Bouzid;4ème année secondaire Economie et Gestion;45
2021/2022;13;Sidi Bouzid;4ème année secondaire Sport ;3
2021/2022;14;Gafsa;7ème année de base;250
2021/2022;14;Gafsa;8ème année de base;204
2021/2022;14;Gafsa;9ème année de base;179
2021/2022;14;Gafsa;1ère année secondaire Tronc commun;179
2021/2022;14;Gafsa;1ère année secondaire Sport;3
2021/2022;14;Gafsa;2ème année secondaire Lettres;47
2021/2022;14;Gafsa;2ème année secondaire Sciences;67
2021/2022;14;Gafsa;2ème année secondaire Technologie informatique;25
2021/2022;14;Gafsa;2ème année secondaire Economie et services;28
2021/2022;14;Gafsa;2ème année secondaire Sport;3
2021/2022;14;Gafsa;3ème année secondaire Lettres;44
2021/2022;14;Gafsa;3ème année secondaire Mathématiques;11
2021/2022;14;Gafsa;3ème année secondaire Sc. Expérimentales;49
