"Code","Nom","Adresse","Gouvernorat","Délégation"
" 168","XXX","AVENUE HABIB BOURGUIBA ZAHRET MEDIEN AMDOUN","BEJA","AMDOUN"
" 171","XXX","RUE MONGI SLIM BEJA NORD","BEJA","BEJA NORD"
" 172","XXX","67,AVENUE FARHAT HACHED BEJA NORD","BEJA","BEJA NORD"
" 181","XXX","AVENUE HABIB BOURGUIBA BEJA NORD","BEJA","BEJA NORD"
" 183","XXX","RUE IADHI EL BEJI BEJA NORD","BEJA","BEJA NORD"
" 184","XXX","ANGLE AVENUE FARHAT HACHED ET KHEIREDDINE BEJA NORD","BEJA","BEJA NORD"
" 188","XXX","RUE ASSAD IBN EL FOURAT PLACE DES MARTYRS","BEJA","BEJA NORD"
"1372","XXX","RUE ASAD IBN EL FOURAT PLACE DES MARTYRS BEJA NORD","BEJA","BEJA NORD"
"1386","XXX","AVENUE FARHAT HACHED-IMMEUBLE iSAKRIA","BEJA","BEJA NORD"
"1393","XXX","AVENUE DE LA LIBERTE N°1 BEJA NORD","BEJA","BEJA NORD"
"1879","XXX","AVENUE 18 JANVIER","BEJA","BEJA NORD"
" 169","XXX","MAAGOULA BEJA SUD","BEJA","BEJA SUD"
" 170","XXX","AVENUE DE FRANCE N 16 - BEJA","BEJA","BEJA SUD"
" 185","XXX","CARREFOUR DE LA REPUBLIQUE  REPUBLIQUE ET RUE BEN NOOMEN BEJA SUD","BEJA","BEJA SUD"
"1568","XXX","rue okba IBN nafaa n_31 - BEJA SUD","BEJA","BEJA SUD"
"1891","XXX","SIDI SMAIL","BEJA","BEJA SUD"
"2476","XXX","AVENUE DE LA REPUBLIQUE - SIDI FRAJ - BEJA SUD","BEJA","BEJA SUD"
" 182","XXX","GOUBELLAT","BEJA","GOUBELLAT"
" 163","XXX","AVENUE HABIB BOURGUIBA MEJEZ EL BAB","BEJA","MEJEZ EL BAB"
" 173","XXX","AVENUE HABIB BOURGUIBA MEJEZ EL BAB","BEJA","MEJEZ EL BAB"
" 176","XXX","AVENUE HABIB BOURGUIBA MEJEZ EL BAB","BEJA","MEJEZ EL BAB"
" 186","XXX","AVENUE HABIB BOURGUIBA-COMPLEXE COMMERCIAL MANNOUBI","BEJA","MEJEZ EL BAB"
