ligne ;horaires (du Lundi à samedi);Sens ;horaires (Dimanche);sens ;saison;;;;;;;;
24F;08:20;aller;;;hiver;;;;;;;;
24F;08:40;aller;;;hiver;;;;;;;;
24F;09:00;aller;;;hiver;;;;;;;;
24F;09:20;aller;;;hiver;;;;;;;;
24F;09:40;aller;;;hiver;;;;;;;;
24F;10:00;aller;;;hiver;;;;;;;;
24F;10:20;aller;;;hiver;;;;;;;;
24F;10:40;aller;;;hiver;;;;;;;;
24F;11:00;aller;;;hiver;;;;;;;;
24F;11:20;aller;;;hiver;;;;;;;;
24F;11:40;aller;;;hiver;;;;;;;;
24F;12:00;aller;;;hiver;;;;;;;;
24F;12:20;aller;;;hiver;;;;;;;;
24F;12:40;aller;;;hiver;;;;;;;;
24F;13:00;aller;;;hiver;;;;;;;;
24F;13:20;aller;;;hiver;;;;;;;;
24F;13:40;aller;;;hiver;;;;;;;;
24F;14:00;aller;;;hiver;;;;;;;;
24F;14:20;aller;;;hiver;;;;;;;;
24F;14:40;aller;;;hiver;;;;;;;;
24F;15:00;aller;;;hiver;;;;;;;;
24F;15:20;aller;;;hiver;;;;;;;;
24F;15:40;aller;;;hiver;;;;;;;;
24F;15:45;aller;;;hiver;;;;;;;;
24F;16:00;aller;;;hiver;;;;;;;;
24F;16:20;aller;;;hiver;;;;;;;;
24F;16:40;aller;;;hiver;;;;;;;;
24F;16:45;aller;;;hiver;;;;;;;;
24F;17:00;aller;;;hiver;;;;;;;;
24F;17:20;aller;;;hiver;;;;;;;;
24F;17:40;aller;;;hiver;;;;;;;;
24F;17:45;aller;;;hiver;;;;;;;;
24F;18:00;aller;;;hiver;;;;;;;;
24F;18:20;aller;;;hiver;;;;;;;;
24F;18:40;aller;;;hiver;;;;;;;;
24F;19:00;aller;;;hiver;;;;;;;;
24F;20:00;aller;;;hiver;;;;;;;;
24F;05:30;retour;;;hiver;;;;;;;;
24F;05:50;retour;;;hiver;;;;;;;;
24F;06:10;retour;;;hiver;;;;;;;;
24F;06:30;retour;;;hiver;;;;;;;;
24F;06:50;retour;;;hiver;;;;;;;;
24F;07:10;retour;;;hiver;;;;;;;;
24F;07:30;retour;;;hiver;;;;;;;;
24F;07:50;retour;;;hiver;;;;;;;;
24F;08:10;retour;;;hiver;;;;;;;;
24F;08:30;retour;;;hiver;;;;;;;;
24F;08:50;retour;;;hiver;;;;;;;;
24F;09:10;retour;;;hiver;;;;;;;;
24F;09:30;retour;;;hiver;;;;;;;;
24F;09:50;retour;;;hiver;;;;;;;;
24F;10:10;retour;;;hiver;;;;;;;;
24F;10:30;retour;;;hiver;;;;;;;;
24F;10:50;retour;;;hiver;;;;;;;;
24F;11:10;retour;;;hiver;;;;;;;;
24F;11:30;retour;;;hiver;;;;;;;;
24F;11:50;retour;;;hiver;;;;;;;;
24F;12:10;retour;;;hiver;;;;;;;;
24F;12:30;retour;;;hiver;;;;;;;;
24F;12:50;retour;;;hiver;;;;;;;;
24F;13:10;retour;;;hiver;;;;;;;;
24F;13:30;retour;;;hiver;;;;;;;;
24F;13:50;retour;;;hiver;;;;;;;;
24F;14:10;retour;;;hiver;;;;;;;;
24F;14:30;retour;;;hiver;;;;;;;;
24F;14:50;retour;;;hiver;;;;;;;;
24F;15:10;retour;;;hiver;;;;;;;;
24F;15:30;retour;;;hiver;;;;;;;;
24F;15:50;retour;;;hiver;;;;;;;;
24F;16:10;retour;;;hiver;;;;;;;;
24F;16:15;retour;;;hiver;;;;;;;;
24F;16:30;retour;;;hiver;;;;;;;;
24F;16:50;retour;;;hiver;;;;;;;;
24F;17:10;retour;;;hiver;;;;;;;;
24F;17:15;retour;;;hiver;;;;;;;;
24F;17:30;retour;;;hiver;;;;;;;;
24F;17:50;retour;;;hiver;;;;;;;;
24F;18:10;retour;;;hiver;;;;;;;;
24F;18:30;retour;;;hiver;;;;;;;;
24F;19:30;retour;;;hiver;;;;;;;;
25(Avenue de Carthage vers Ferch el Annabi);05:10;aller;;;hiver;;;;;;;;
25;05:40;aller;;;hiver;;;;;;;;
25;06:20;aller;;;hiver;;;;;;;;
25;07:00;aller;;;hiver;;;;;;;;
25;07:40;aller;;;hiver;;;;;;;;
25;08:20;aller;;;hiver;;;;;;;;
25;09:00;aller;;;hiver;;;;;;;;
25;09:40;aller;;;hiver;;;;;;;;
25;10:20;aller;;;hiver;;;;;;;;
25;11:00;aller;;;hiver;;;;;;;;
25;11:40;aller;;;hiver;;;;;;;;
25;12:20;aller;;;hiver;;;;;;;;
25;13:00;aller;;;hiver;;;;;;;;
25;13:40;aller;;;hiver;;;;;;;;
25;14:20;aller;;;hiver;;;;;;;;
25;15:00;aller;;;hiver;;;;;;;;
25;15:40;aller;;;hiver;;;;;;;;
25;16:20;aller;;;hiver;;;;;;;;
25;16:30;aller;;;hiver;;;;;;;;
25;17:00;aller;;;hiver;;;;;;;;
25;17:00;aller;;;hiver;;;;;;;;
25;17:40;aller;;;hiver;;;;;;;;
25;18:00;aller;;;hiver;;;;;;;;
25;18:20;aller;;;hiver;;;;;;;;
25;18:30;aller;;;hiver;;;;;;;;
25;19:00;aller;;;hiver;;;;;;;;
25;19:40;aller;;;hiver;;;;;;;;
25;20:20;aller;;;hiver;;;;;;;;
25;21:00;aller;;;hiver;;;;;;;;
25;21:30;aller;;;hiver;;;;;;;;
25;22:20;aller;;;hiver;;;;;;;;
25;04:20;retour;;;hiver;;;;;;;;
25;05:20;retour;;;hiver;;;;;;;;
25;06:00;retour;;;hiver;;;;;;;;
25;06:30;retour;;;hiver;;;;;;;;
25;07:10;retour;;;hiver;;;;;;;;
25;07:50;retour;;;hiver;;;;;;;;
25;08:40;retour;;;hiver;;;;;;;;
25;09:20;retour;;;hiver;;;;;;;;
25;10:00;retour;;;hiver;;;;;;;;
25;10:40;retour;;;hiver;;;;;;;;
25;11:20;retour;;;hiver;;;;;;;;
25;12:00;retour;;;hiver;;;;;;;;
25;12:40;retour;;;hiver;;;;;;;;
25;13:20;retour;;;hiver;;;;;;;;
25;14:00;retour;;;hiver;;;;;;;;
25;14:40;retour;;;hiver;;;;;;;;
25;15:20;retour;;;hiver;;;;;;;;
25;16:00;retour;;;hiver;;;;;;;;
25;16:40;retour;;;hiver;;;;;;;;
25;17:20;retour;;;hiver;;;;;;;;
25;18:00;retour;;;hiver;;;;;;;;
25;18:40;retour;;;hiver;;;;;;;;
25;19:20;retour;;;hiver;;;;;;;;
25;20:00;retour;;;hiver;;;;;;;;
25;20:40;retour;;;hiver;;;;;;;;
25;21:20;retour;;;hiver;;;;;;;;
25A(Avenue de Carthage vers Cité El Amel Fouchana);05:30;aller;06:20;aller;hiver;;;;;;;;
25A;06:10;aller;07:20;aller;hiver;;;;;;;;
25A;06:50;aller;08:20;aller;hiver;;;;;;;;
25A;07:30;aller;09:20;aller;hiver;;;;;;;;
25A;08:10;aller;10:20;aller;hiver;;;;;;;;
25A;08:50;aller;11:20;aller;hiver;;;;;;;;
25A;09:30;aller;12:20;aller;hiver;;;;;;;;
25A;10:10;aller;13:20;aller;hiver;;;;;;;;
25A;10:50;aller;14:20;aller;hiver;;;;;;;;
25A;11:30;aller;15:20;aller;hiver;;;;;;;;
25A;12:10;aller;16:20;aller;hiver;;;;;;;;
25A;12:50;aller;17:20;aller;hiver;;;;;;;;
25A;13:30;aller;18:20;aller;hiver;;;;;;;;
25A;14:10;aller;19:20;aller;hiver;;;;;;;;
25A;14:50;aller;20:15;aller;hiver;;;;;;;;
25A;15:30;aller;06:20;retour;hiver;;;;;;;;
25A;16:10;aller;07:20;retour;hiver;;;;;;;;
25A;16:50;aller;08:20;retour;hiver;;;;;;;;
25A;17:30;aller;09:20;retour;hiver;;;;;;;;
25A;18:10;aller;10:20;retour;hiver;;;;;;;;
25A;18:50;aller;11:20;retour;hiver;;;;;;;;
25A;19:30;aller;12:20;retour;hiver;;;;;;;;
25A;20:00;aller;13:20;retour;hiver;;;;;;;;
25A;21:00;aller;14:20;retour;hiver;;;;;;;;
25A;22:00;aller;15:20;retour;hiver;;;;;;;;
25A;04:30;retour;16:20;retour;hiver;;;;;;;;
25A;05:10;retour;17:20;retour;hiver;;;;;;;;
25A;05:50;retour;18:20;retour;hiver;;;;;;;;
25A;06:30;retour;;;hiver;;;;;;;;
25A;07:10;retour;;;hiver;;;;;;;;
25A;07:50;retour;;;hiver;;;;;;;;
25A;08:30;retour;;;hiver;;;;;;;;
25A;09:10;retour;;;hiver;;;;;;;;
25A;09:50;retour;;;hiver;;;;;;;;
25A;10:30;retour;;;hiver;;;;;;;;
25A;11:10;retour;;;hiver;;;;;;;;
25A;11:50;retour;;;hiver;;;;;;;;
25A;12:30;retour;;;hiver;;;;;;;;
25A;13:10;retour;;;hiver;;;;;;;;
25A;13:50;retour;;;hiver;;;;;;;;
25A;14:30;retour;;;hiver;;;;;;;;
25A;15:10;retour;;;hiver;;;;;;;;
25A;15:50;retour;;;hiver;;;;;;;;
25A;16:30;retour;;;hiver;;;;;;;;
25A;17:10;retour;;;hiver;;;;;;;;
25A;17:50;retour;;;hiver;;;;;;;;
25A;18:30;retour;;;hiver;;;;;;;;
25A;19:10;retour;;;hiver;;;;;;;;
25A;19:50;retour;;;hiver;;;;;;;;
25A;20:30;retour;;;hiver;;;;;;;;
25A;21:00;retour;;;hiver;;;;;;;;
25A;21:50;retour;;;hiver;;;;;;;;
25B( Avenue de Carthage vers Bir Ejdid);06:00;aller;07:00;aller;hiver;;;;;;;;
25B;06:40;aller;08:00;aller;hiver;;;;;;;;
25B;07:20;aller;09:00;aller;hiver;;;;;;;;
25B;08:00;aller;10:00;aller;hiver;;;;;;;;
25B;08:40;aller;11:00;aller;hiver;;;;;;;;
25B;09:20;aller;12:00;aller;hiver;;;;;;;;
25B;10:00;aller;13:00;aller;hiver;;;;;;;;
25B;10:40;aller;14:00;aller;hiver;;;;;;;;
25B;11:20;aller;15:00;aller;hiver;;;;;;;;
25B;12:00;aller;16:00;aller;hiver;;;;;;;;
25B;12:40;aller;17:00;aller;hiver;;;;;;;;
25B;13:20;aller;18:00;aller;hiver;;;;;;;;
25B;14:00;aller;19:00;aller;hiver;;;;;;;;
25B;14:40;aller;20:00;aller;hiver;;;;;;;;
25B;15:20;aller;06:00;retour;hiver;;;;;;;;
25B;16:00;aller;07:00;retour;hiver;;;;;;;;
25B;16:40;aller;08:00;retour;hiver;;;;;;;;
25B;17:20;aller;09:00;retour;hiver;;;;;;;;
25B;18:00;aller;10:00;retour;hiver;;;;;;;;
25B;18:40;aller;11:00;retour;hiver;;;;;;;;
25B;19:20;aller;12:00;retour;hiver;;;;;;;;
25B;21:00;aller;13:00;retour;hiver;;;;;;;;
25B;21:30;aller;14:00;retour;hiver;;;;;;;;
25B;22:20;aller;15:00;retour;hiver;;;;;;;;
25B;04:20;retour;16:00;retour;hiver;;;;;;;;
25B;05:00;retour;17:00;retour;hiver;;;;;;;;
25B;05:40;retour;18:00;retour;hiver;;;;;;;;
25B;06:20;retour;19:00;retour;hiver;;;;;;;;
25B;06:50;retour;;;hiver;;;;;;;;
25B;07:30;retour;;;hiver;;;;;;;;
25B;08:10;retour;;;hiver;;;;;;;;
25B;09:00;retour;;;hiver;;;;;;;;
25B;09:40;retour;;;hiver;;;;;;;;
25B;10:20;retour;;;hiver;;;;;;;;
25B;11:00;retour;;;hiver;;;;;;;;
25B;11:40;retour;;;hiver;;;;;;;;
25B;12:20;retour;;;hiver;;;;;;;;
25B;13:00;retour;;;hiver;;;;;;;;
25B;13:40;retour;;;hiver;;;;;;;;
25B;14:20;retour;;;hiver;;;;;;;;
25B;15:00;retour;;;hiver;;;;;;;;
25B;15:40;retour;;;hiver;;;;;;;;
25B;16:20;retour;;;hiver;;;;;;;;
25B;17:00;retour;;;hiver;;;;;;;;
25B;17:40;retour;;;hiver;;;;;;;;
25B;18:20;retour;;;hiver;;;;;;;;
25C(Avenue de Carthage vers Naassen1);06:45;aller;;;hiver;;;;;;;;
25C;07:10;aller;;;hiver;;;;;;;;
25C;07:30;aller;;;hiver;;;;;;;;
25C;07:50;aller;;;hiver;;;;;;;;
25C;06:15;retour;;;hiver;;;;;;;;
25C;06:30;retour;;;hiver;;;;;;;;
25C;07:00;retour;;;hiver;;;;;;;;
25C;07:15;retour;;;hiver;;;;;;;;
25C;07:30;retour;;;hiver;;;;;;;;
25C;07:45;retour;;;hiver;;;;;;;;
25C;08:00;retour;;;hiver;;;;;;;;
25C;08:20;retour;;;hiver;;;;;;;;
25D(Avenue de Carthage vers Cité Salem);07:40;aller;;;hiver;;;;;;;;
25D;10:20;aller;;;hiver;;;;;;;;
25D;13:00;aller;;;hiver;;;;;;;;
25D;15:40;aller;;;hiver;;;;;;;;
25D;18:20;aller;;;hiver;;;;;;;;
25D;06:20;retour;;;hiver;;;;;;;;
25D;09:00;retour;;;hiver;;;;;;;;
25D;11:40;retour;;;hiver;;;;;;;;
25D;14:20;retour;;;hiver;;;;;;;;
25D;17:00;retour;;;hiver;;;;;;;;
26( Barcelone vers Morneg);05:30;aller;05:45;aller;hiver;;;;;;;;
26;05:50;aller;06:15;aller;hiver;;;;;;;;
26;06:20;aller;06:45;aller;hiver;;;;;;;;
26;06:40;aller;07:20;aller;hiver;;;;;;;;
26;07:00;aller;07:50;aller;hiver;;;;;;;;
26;07:05;aller;08:20;aller;hiver;;;;;;;;
26;07:30;aller;09:10;aller;hiver;;;;;;;;
26;07:40;aller;09:35;aller;hiver;;;;;;;;
26;07:50;aller;10:00;aller;hiver;;;;;;;;
26;08:10;aller;10:25;aller;hiver;;;;;;;;
26;08:40;aller;10:50;aller;hiver;;;;;;;;
26;09:05;aller;11:15;aller;hiver;;;;;;;;
26;09:30;aller;11:40;aller;hiver;;;;;;;;
26;09:50;aller;12:05;aller;hiver;;;;;;;;
26;10:10;aller;12:30;aller;hiver;;;;;;;;
26;10:40;aller;12:55;aller;hiver;;;;;;;;
26;11:05;aller;13:20;aller;hiver;;;;;;;;
26;11:30;aller;13:45;aller;hiver;;;;;;;;
26;11:50;aller;14:10;aller;hiver;;;;;;;;
26;12:10;aller;14:35;aller;hiver;;;;;;;;
26;12:40;aller;15:00;aller;hiver;;;;;;;;
26;13:05;aller;15:25;aller;hiver;;;;;;;;
26;13:30;aller;15:50;aller;hiver;;;;;;;;
26;13:50;aller;16:15;aller;hiver;;;;;;;;
26;14:10;aller;16:40;aller;hiver;;;;;;;;
26;14:40;aller;17:05;aller;hiver;;;;;;;;
26;15:05;aller;17:30;aller;hiver;;;;;;;;
26;15:30;aller;17:50;aller;hiver;;;;;;;;
26;15:50;aller;18:15;aller;hiver;;;;;;;;
26;16:10;aller;18:45;aller;hiver;;;;;;;;
26;16:40;aller;19:15;aller;hiver;;;;;;;;
26;16:50;aller;19:45;aller;hiver;;;;;;;;
26;17:05;aller;20:15;aller;hiver;;;;;;;;
26;17:30;aller;20:45;aller;hiver;;;;;;;;
26;17:30;aller;21:30;aller;hiver;;;;;;;;
26;17:50;aller;22:20;aller;hiver;;;;;;;;
26;18:10;aller;05:00;retour;hiver;;;;;;;;
26;18:20;aller;05:30;retour;hiver;;;;;;;;
26;18:40;aller;06:00;retour;hiver;;;;;;;;
26;18:50;aller;06:30;retour;hiver;;;;;;;;
26;19:05;aller;07:00;retour;hiver;;;;;;;;
26;19:30;aller;07:30;retour;hiver;;;;;;;;
26;20:00;aller;08:20;retour;hiver;;;;;;;;
26;20:20;aller;08:45;retour;hiver;;;;;;;;
26;20:40;aller;09:10;retour;hiver;;;;;;;;
26;21:00;aller;09:35;retour;hiver;;;;;;;;
26;21:30;aller;10:00;retour;hiver;;;;;;;;
26;22:10;aller;10:25;retour;hiver;;;;;;;;
26;22:40;aller;10:50;retour;hiver;;;;;;;;
26;04:30;retour;11:15;retour;hiver;;;;;;;;
26;05:00;retour;11:40;retour;hiver;;;;;;;;
26;05:30;retour;12:05;retour;hiver;;;;;;;;
26;05:40;retour;12:30;retour;hiver;;;;;;;;
26;06:00;retour;12:55;retour;hiver;;;;;;;;
26;06:20;retour;13:20;retour;hiver;;;;;;;;
26;06:30;retour;13:45;retour;hiver;;;;;;;;
26;06:50;retour;14:10;retour;hiver;;;;;;;;
26;07:00;retour;14:35;retour;hiver;;;;;;;;
26;07:20;retour;15:00;retour;hiver;;;;;;;;
26;07:40;retour;15:25;retour;hiver;;;;;;;;
26;07:40;retour;15:50;retour;hiver;;;;;;;;
26;08:05;retour;16:15;retour;hiver;;;;;;;;
26;08:20;retour;16:40;retour;hiver;;;;;;;;
26;08:30;retour;17:05;retour;hiver;;;;;;;;
26;08:50;retour;17:30;retour;hiver;;;;;;;;
26;09:10;retour;17:55;retour;hiver;;;;;;;;
26;09:40;retour;18:20;retour;hiver;;;;;;;;
26;10:05;retour;18:45;retour;hiver;;;;;;;;
26;10:30;retour;19:10;retour;hiver;;;;;;;;
26;10:50;retour;19:35;retour;hiver;;;;;;;;
26;11:10;retour;20:15;retour;hiver;;;;;;;;
26;11:40;retour;21:15;retour;hiver;;;;;;;;
26;12:05;retour;;;hiver;;;;;;;;
26;12:30;retour;;;hiver;;;;;;;;
26;12:50;retour;;;hiver;;;;;;;;
26;13:10;retour;;;hiver;;;;;;;;
26;13:40;retour;;;hiver;;;;;;;;
26;14:05;retour;;;hiver;;;;;;;;
26;14:30;retour;;;hiver;;;;;;;;
26;14:50;retour;;;hiver;;;;;;;;
26;15:10;retour;;;hiver;;;;;;;;
26;15:40;retour;;;hiver;;;;;;;;
26;16:05;retour;;;hiver;;;;;;;;
26;16:30;retour;;;hiver;;;;;;;;
26;16:50;retour;;;hiver;;;;;;;;
26;17:10;retour;;;hiver;;;;;;;;
26;17:30;retour;;;hiver;;;;;;;;
26;17:40;retour;;;hiver;;;;;;;;
26;18:05;retour;;;hiver;;;;;;;;
26;18:10;retour;;;hiver;;;;;;;;
26;18:30;retour;;;hiver;;;;;;;;
26;18:50;retour;;;hiver;;;;;;;;
26;19:30;retour;;;hiver;;;;;;;;
26;19:40;retour;;;hiver;;;;;;;;
26;20:05;retour;;;hiver;;;;;;;;
26;20:30;retour;;;hiver;;;;;;;;
26;21:10;retour;;;hiver;;;;;;;;
26;21:50;retour;;;hiver;;;;;;;;
26A(Barcelone vers Morneg (GPA));05:40;aller;06:05;aller;hiver;;;;;;;;
26A;05:20;aller;06:50;aller;hiver;;;;;;;;
26A;05:40;aller;07:30;aller;hiver;;;;;;;;
26A;05:50;aller;08:00;aller;hiver;;;;;;;;
26A;06:10;aller;08:30;aller;hiver;;;;;;;;
26A;06:40;aller;09:00;aller;hiver;;;;;;;;
26A;06:40;aller;09:30;aller;hiver;;;;;;;;
26A;07:20;aller;10:00;aller;hiver;;;;;;;;
26A;07:40;aller;10:30;aller;hiver;;;;;;;;
26A;07:40;aller;11:00;aller;hiver;;;;;;;;
26A;08:00;aller;11:30;aller;hiver;;;;;;;;
26A;08:30;aller;12:00;aller;hiver;;;;;;;;
26A;08:40;aller;12:30;aller;hiver;;;;;;;;
26A;09:00;aller;13:00;aller;hiver;;;;;;;;
26A;09:20;aller;13:30;aller;hiver;;;;;;;;
26A;09:40;aller;14:00;aller;hiver;;;;;;;;
26A;10:00;aller;14:30;aller;hiver;;;;;;;;
26A;10:20;aller;15:00;aller;hiver;;;;;;;;
26A;10:40;aller;15:30;aller;hiver;;;;;;;;
26A;11:00;aller;16:00;aller;hiver;;;;;;;;
26A;11:20;aller;16:30;aller;hiver;;;;;;;;
26A;11:40;aller;17:00;aller;hiver;;;;;;;;
26A;12:00;aller;17:30;aller;hiver;;;;;;;;
26A;12:20;aller;18:00;aller;hiver;;;;;;;;
26A;12:40;aller;18:30;aller;hiver;;;;;;;;
26A;13:00;aller;19:00;aller;hiver;;;;;;;;
26A;13:20;aller;19:30;aller;hiver;;;;;;;;
26A;13:40;aller;20:00;aller;hiver;;;;;;;;
26A;14:00;aller;20:30;aller;hiver;;;;;;;;
26A;14:20;aller;20:45;aller;hiver;;;;;;;;
26A;14:40;aller;21:00;aller;hiver;;;;;;;;
26A;15:00;aller;21:30;aller;hiver;;;;;;;;
26A;15:20;aller;22:20;aller;hiver;;;;;;;;
26A;15:40;aller;05:10;retour;hiver;;;;;;;;
26A;16:00;aller;05:50;retour;hiver;;;;;;;;
26A;16:20;aller;06:30;retour;hiver;;;;;;;;
26A;16:40;aller;07:00;retour;hiver;;;;;;;;
26A;17:00;aller;07:30;retour;hiver;;;;;;;;
26A;17:20;aller;08:00;retour;hiver;;;;;;;;
26A;17:40;aller;08:30;retour;hiver;;;;;;;;
26A;18:00;aller;09:00;retour;hiver;;;;;;;;
26A;18:20;aller;09:30;retour;hiver;;;;;;;;
26A;19:00;aller;10:00;retour;hiver;;;;;;;;
26A;19:45;aller;10:30;retour;hiver;;;;;;;;
26A;20:30;aller;11:00;retour;hiver;;;;;;;;
26A;21:00;aller;11:30;retour;hiver;;;;;;;;
26A;21:45;aller;12:00;retour;hiver;;;;;;;;
26A;22:30;aller;12:30;retour;hiver;;;;;;;;
26A;05:00;retour;13:00;retour;hiver;;;;;;;;
26A;05:30;retour;13:30;retour;hiver;;;;;;;;
26A;06:00;retour;14:00;retour;hiver;;;;;;;;
26A;06:30;retour;14:30;retour;hiver;;;;;;;;
26A;06:50;retour;15:00;retour;hiver;;;;;;;;
26A;07:15;retour;15:30;retour;hiver;;;;;;;;
26A;07:30;retour;16:00;retour;hiver;;;;;;;;
26A;07:50;retour;16:30;retour;hiver;;;;;;;;
26A;08:10;retour;17:00;retour;hiver;;;;;;;;
26A;08:30;retour;17:30;retour;hiver;;;;;;;;
26A;08:50;retour;18:00;retour;hiver;;;;;;;;
26A;09:10;retour;18:30;retour;hiver;;;;;;;;
26A;09:30;retour;18:50;retour;hiver;;;;;;;;
26A;09:50;retour;19:30;retour;hiver;;;;;;;;
26A;10:10;retour;20:10;retour;hiver;;;;;;;;
26A;10:30;retour;21:10;retour;hiver;;;;;;;;
26A;10:50;retour;22:00;retour;hiver;;;;;;;;
26A;11:10;retour;;;hiver;;;;;;;;
26A;11:30;retour;;;hiver;;;;;;;;
26A;11:50;retour;;;hiver;;;;;;;;
26A;12:10;retour;;;hiver;;;;;;;;
26A;12:30;retour;;;hiver;;;;;;;;
26A;12:50;retour;;;hiver;;;;;;;;
26A;13:10;retour;;;hiver;;;;;;;;
26A;13:30;retour;;;hiver;;;;;;;;
26A;13:50;retour;;;hiver;;;;;;;;
26A;14:10;retour;;;hiver;;;;;;;;
26A;14:30;retour;;;hiver;;;;;;;;
26A;14:50;retour;;;hiver;;;;;;;;
26A;15:10;retour;;;hiver;;;;;;;;
26A;15:30;retour;;;hiver;;;;;;;;
26A;15:50;retour;;;hiver;;;;;;;;
26A;16:10;retour;;;hiver;;;;;;;;
26A;16:30;retour;;;hiver;;;;;;;;
26A;16:50;retour;;;hiver;;;;;;;;
26A;17:10;retour;;;hiver;;;;;;;;
26A;17:30;retour;;;hiver;;;;;;;;
26A;17:50;retour;;;hiver;;;;;;;;
26A;18:10;retour;;;hiver;;;;;;;;
26A;18:25;retour;;;hiver;;;;;;;;
26A;19:10;retour;;;hiver;;;;;;;;
26A;19:30;retour;;;hiver;;;;;;;;
26A;20:45;retour;;;hiver;;;;;;;;
26A;21:30;retour;;;hiver;;;;;;;;
26A;22:10;retour;;;hiver;;;;;;;;
29(Barcelone vers Bellevue);06:30;aller;08:50;aller;hiver;;;;;;;;
29;07:10;aller;09:30;aller;hiver;;;;;;;;
29;08:00;aller;10:10;aller;hiver;;;;;;;;
29;09:00;aller;10:50;aller;hiver;;;;;;;;
29;10:00;aller;11:30;aller;hiver;;;;;;;;
29;11:00;aller;12:10;aller;hiver;;;;;;;;
29;12:00;aller;12:50;aller;hiver;;;;;;;;
29;13:00;aller;13:30;aller;hiver;;;;;;;;
29;14:00;aller;14:10;aller;hiver;;;;;;;;
29;15:00;aller;14:50;aller;hiver;;;;;;;;
29;16:00;aller;08:30;retour;hiver;;;;;;;;
29;17:00;aller;09:10;retour;hiver;;;;;;;;
29;18:00;aller;09:50;retour;hiver;;;;;;;;
29;19:00;aller;10:30;retour;hiver;;;;;;;;
29;06:50;retour;11:10;retour;hiver;;;;;;;;
29;07:30;retour;11:50;retour;hiver;;;;;;;;
29;08:30;retour;12:30;retour;hiver;;;;;;;;
29;09:30;retour;13:10;retour;hiver;;;;;;;;
29;01:30;retour;13:50;retour;hiver;;;;;;;;
29;11:30;retour;14:30;retour;hiver;;;;;;;;
29;12:30;retour;;;hiver;;;;;;;;
29;13:30;retour;;;hiver;;;;;;;;
29;14:30;retour;;;hiver;;;;;;;;
29;15:30;retour;;;hiver;;;;;;;;
29;16:30;retour;;;hiver;;;;;;;;
29;17:30;retour;;;hiver;;;;;;;;
29;18:30;retour;;;hiver;;;;;;;;
37( Borj Cedria vers Mornag  );05:30;aller;05:30;aller;hiver;;;;;;;;
37;06:30;aller;06:30;aller;hiver;;;;;;;;
37;07:30;aller;07:30;aller;hiver;;;;;;;;
37;08:30;aller;08:30;aller;hiver;;;;;;;;
37;09:30;aller;09:30;aller;hiver;;;;;;;;
37;10:30;aller;10:30;aller;hiver;;;;;;;;
37;11:30;aller;11:30;aller;hiver;;;;;;;;
37;12:30;aller;12:30;aller;hiver;;;;;;;;
37;13:30;aller;13:30;aller;hiver;;;;;;;;
37;14:30;aller;14:30;aller;hiver;;;;;;;;
37;15:30;aller;15:30;aller;hiver;;;;;;;;
37;16:30;aller;16:30;aller;hiver;;;;;;;;
37;06:30;retour;06:30;retour;hiver;;;;;;;;
37;07:30;retour;07:30;retour;hiver;;;;;;;;
37;08:30;retour;08:30;retour;hiver;;;;;;;;
37;09:30;retour;09:30;retour;hiver;;;;;;;;
37;10:30;retour;10:30;retour;hiver;;;;;;;;
37;11:30;retour;11:30;retour;hiver;;;;;;;;
37;12:30;retour;12:30;retour;hiver;;;;;;;;
37;13:30;retour;13:30;retour;hiver;;;;;;;;
37;14:30;retour;14:30;retour;hiver;;;;;;;;
37;15:30;retour;15:30;retour;hiver;;;;;;;;
37;16:15;retour;16:30;retour;hiver;;;;;;;;
37;16:30;retour;17:30;retour;hiver;;;;;;;;
37;17:15;retour;;;hiver;;;;;;;;
37;17:35;retour;;;hiver;;;;;;;;
37;18:15;retour;;;hiver;;;;;;;;
39(Rades Forêt vers Lycée Ezzahra  );07:20;aller;;;hiver;;;;;;;;
39;08:10;aller;;;hiver;;;;;;;;
39;09:10;aller;;;hiver;;;;;;;;
39;10:10;aller;;;hiver;;;;;;;;
39;11:10;aller;;;hiver;;;;;;;;
39;12:10;aller;;;hiver;;;;;;;;
39;13:10;aller;;;hiver;;;;;;;;
39;14:10;aller;;;hiver;;;;;;;;
39;15:10;aller;;;hiver;;;;;;;;
39;16:10;aller;;;hiver;;;;;;;;
39;17:10;aller;;;hiver;;;;;;;;
39;18:10;aller;;;hiver;;;;;;;;
39;06:40;retour;;;hiver;;;;;;;;
39;07:50;retour;;;hiver;;;;;;;;
39;08:40;retour;;;hiver;;;;;;;;
39;09:40;retour;;;hiver;;;;;;;;
39;10:40;retour;;;hiver;;;;;;;;
39;11:40;retour;;;hiver;;;;;;;;
39;12:40;retour;;;hiver;;;;;;;;
39;13:40;retour;;;hiver;;;;;;;;
39;14:40;retour;;;hiver;;;;;;;;
39;15:40;retour;;;hiver;;;;;;;;
39;16:40;retour;;;hiver;;;;;;;;
39;17:40;retour;;;hiver;;;;;;;;
54(Cité Chaker vers Mourouj5);06:00;aller;06:40;aller;hiver;;;;;;;;
54;06:40;aller;08:10;aller;hiver;;;;;;;;
54;07:20;aller;09:40;aller;hiver;;;;;;;;
54;08:15;aller;11:10;aller;hiver;;;;;;;;
54;09:00;aller;12:45;aller;hiver;;;;;;;;
54;09:40;aller;14:20;aller;hiver;;;;;;;;
