Endroit,Nom_artiste,Titre,Type_d_exposition,Type_de_galerie,Prix,Prix_Total
,على الزنايدي ,مدينة بول كلي ,جماعي,عمومي,5000,
رواق 421,محمد على خوجة ,sans titre,جماعي,خاص,4000,39500
,حسين مصدق ,حالة فزع ,جماعي,خاص,9000,
,أيمن بن عمر ,باب بحر ,جماعي,خاص,4000,
,أمال بن حسين ,le monde 2020,جماعي,خاص,9000,
, ماريان كاتزاراس,Une ile ,جماعي,عمومي,1500,
,حمادي بن سعد ,réflexions ,فردي,خاص,12000,
رواق مسك و عنبر ,كوثر الجلازي بن عياد ,j'hallucine ,فردي,خاص,2800,2800
المكتبة المعلوماتية ,عبد الحميد الصكلي ,قفصة ,فردي,عمومي,3800,3800
دار الجمعيات العاشورية ,عبد الحميد عمار ,نبع الوفاء ,فردي,عمومي,6900,6900
رواق فسيفساء ,الفاضل غديرة ,المقامات ,فردي,خاص,5000,5000
دار الثقافة الكرم ,ليلى سلماوي,Femme au fleurs,فردي,عمومي,6000,6000
رواق علي القرماسي,الطيب زيود,الحرقة,فردي,عمومي,3500,3500
