Gouvernorats;NB;Localisation;Spécialité;"Date de Création"
Sousse;151;"Zeouiet sousse (Bir el hlow, el izdihar)";"Sports défensifs";2013
Monastir;154;"Ksar hlel";"Multi displine";1991
Monastir;159;Lamta;"Salle Tennis de table";1992
Monastir;163;"ouad Kassem Ksar hlel";"Jeux individuels";2016
Mahdia;166;"Salle d'entrainnement";"basket ball";2005
Mahdia;167;"Terrain de cartier";"Salle de musculation";1970
Mahdia;171;"cité Sidi abdallah chebba";"jeux individuels";2018
Sfax;174;Jbiniena;"Sports Collectifs";2001
Sfax;179;L'èglise;"Sports individuels";1956
Sfax;183;Karmada;"Multi displine";2012
Kairouan;188;"Salle Jido à el mansoura";Gido;2005
Kairouan;192;Bouhajla;"Gido et taekwondo";2009
"Sous Total (Kairouan)";;10;;
Kasserine;200;"Kasserine Olympique";Boxe;2014
"Sidi Bouzid";204;"Awled haffouz";Taekwondo;2004
"Sous Total (Sidi Bouzid)";;6;;
Gabès;211;"Salle de sport individuelle  à ghannouch";"Jeux individuels";2015
Gabès;212;"El hamma";"jeux individuels";2015
"Sous Total (Gabès)";;8;;
Mednine;219;"Salle de Boxe à Mednine";"Salle de boxe";2004
"Sous Total (Mednine)";;8;;
Tataouine;227;"Cité el mahrajen abbes à tataouine";"Sport individuls";2017
Tozeur;230;Tozeur;"Multi displine";2006
"Sous Total (Tozeur)";;4;;
Total;;236;;
Tunis;2;"Tunis Jardin B";Volley-ball;2000
Tunis;6;"Khaznadar Bardo";"Multi displine";1990
Tunis;11;"Cité la Jeunesse";Boxe;
Tunis;15;"Cité la Jeunesse";"Sports individuels";
Tunis;19;"Cité la Jeunesse";"Salle de Taekwondo";2001
Tunis;20;"Cité la Jeunesse";"Salle de Boule et pétanque";2003
Tunis;24;Carthage;"Salle de volleyball";2005
Tunis;28;"El Krima";Volley-ball;2005
Tunis;33;"Sidi hssine";"Sports individuels";2009
Tunis;37;"El kabaria";Taekwondo;2015
Ariana;41;"El Tadhamon";"Sports individuels";2003
Ariana;45;"(Cité el nassime)Sokra";Karaté;2009
