annee_scolaire;ordre_CRE;Nom_CRE;Lib_matriere;effectif_enseignants
2021/2022;22; Mahdia ;Maintenance ap.Electro-ménagers;
2021/2022;23; Kairouan ;Maintenance ap.Electro-ménagers;3
2021/2022;24; Monastir ;Maintenance ap.Electro-ménagers;
2021/2022;25; Sousse ;Maintenance ap.Electro-ménagers;
2021/2022;26; Nabeul ;Maintenance ap.Electro-ménagers;1
2021/2022;1;Tunis 1;Bâtiment;2
2021/2022;2;Tunis 2;Bâtiment;
2021/2022;3; Ariana ;Bâtiment;
2021/2022;4; Mannouba ;Bâtiment;1
2021/2022;5; Ben Arous ;Bâtiment;2
2021/2022;6; Zaghouan ;Bâtiment;
2021/2022;7; Bizerte ;Bâtiment;
2021/2022;8; Béja ;Bâtiment;1
2021/2022;9; Jendouba ;Bâtiment;
2021/2022;10; Siliana ;Bâtiment;1
2021/2022;11; Le Kef ;Bâtiment;
2021/2022;12; Kasserine ;Bâtiment;
2021/2022;13; Sidi Bouzid ;Bâtiment;2
2021/2022;14; Gafsa ;Bâtiment;3
2021/2022;15; Tozeur ;Bâtiment;1
2021/2022;16; Kébili ;Bâtiment;3
2021/2022;17; Tataouine ;Bâtiment;2
2021/2022;18; Médenine ;Bâtiment;3
2021/2022;19; Gabès ;Bâtiment;5
2021/2022;20;Sfax 1;Bâtiment;3
2021/2022;21;Sfax 2;Bâtiment;
2021/2022;22; Mahdia ;Bâtiment;1
2021/2022;23; Kairouan ;Bâtiment;
2021/2022;24; Monastir ;Bâtiment;1
2021/2022;25; Sousse ;Bâtiment;2
2021/2022;26; Nabeul ;Bâtiment;3
2021/2022;1;Tunis 1;Menuiserie  et ameublement;2
2021/2022;2;Tunis 2;Menuiserie  et ameublement;1
2021/2022;3; Ariana ;Menuiserie  et ameublement;1
2021/2022;4; Mannouba ;Menuiserie  et ameublement;1
2021/2022;5; Ben Arous ;Menuiserie  et ameublement;5
2021/2022;6; Zaghouan ;Menuiserie  et ameublement;
2021/2022;7; Bizerte ;Menuiserie  et ameublement;2
2021/2022;8; Béja ;Menuiserie  et ameublement;2
2021/2022;9; Jendouba ;Menuiserie  et ameublement;3
2021/2022;10; Siliana ;Menuiserie  et ameublement;1
2021/2022;11; Le Kef ;Menuiserie  et ameublement;
2021/2022;12; Kasserine ;Menuiserie  et ameublement;
2021/2022;13; Sidi Bouzid ;Menuiserie  et ameublement;9
2021/2022;14; Gafsa ;Menuiserie  et ameublement;2
2021/2022;15; Tozeur ;Menuiserie  et ameublement;7
2021/2022;16; Kébili ;Menuiserie  et ameublement;1
2021/2022;17; Tataouine ;Menuiserie  et ameublement;
2021/2022;18; Médenine ;Menuiserie  et ameublement;1
2021/2022;19; Gabès ;Menuiserie  et ameublement;5
2021/2022;20;Sfax 1;Menuiserie  et ameublement;4
2021/2022;21;Sfax 2;Menuiserie  et ameublement;
2021/2022;22; Mahdia ;Menuiserie  et ameublement;5
2021/2022;23; Kairouan ;Menuiserie  et ameublement;1
2021/2022;24; Monastir ;Menuiserie  et ameublement;2
2021/2022;25; Sousse ;Menuiserie  et ameublement;2
2021/2022;26; Nabeul ;Menuiserie  et ameublement;1
2021/2022;1;Tunis 1;Installation sanitaire et thermique;
2021/2022;2;Tunis 2;Installation sanitaire et thermique;
2021/2022;3; Ariana ;Installation sanitaire et thermique;
2021/2022;4; Mannouba ;Installation sanitaire et thermique;
2021/2022;5; Ben Arous ;Installation sanitaire et thermique;
2021/2022;6; Zaghouan ;Installation sanitaire et thermique;
2021/2022;7; Bizerte ;Installation sanitaire et thermique;
2021/2022;8; Béja ;Installation sanitaire et thermique;
2021/2022;9; Jendouba ;Installation sanitaire et thermique;
2021/2022;10; Siliana ;Installation sanitaire et thermique;1
2021/2022;11; Le Kef ;Installation sanitaire et thermique;
2021/2022;12; Kasserine ;Installation sanitaire et thermique;
2021/2022;13; Sidi Bouzid ;Installation sanitaire et thermique;3
2021/2022;14; Gafsa ;Installation sanitaire et thermique;1
2021/2022;15; Tozeur ;Installation sanitaire et thermique;
2021/2022;16; Kébili ;Installation sanitaire et thermique;1
2021/2022;17; Tataouine ;Installation sanitaire et thermique;
2021/2022;18; Médenine ;Installation sanitaire et thermique;1
2021/2022;19; Gabès ;Installation sanitaire et thermique;5
2021/2022;20;Sfax 1;Installation sanitaire et thermique;1
2021/2022;21;Sfax 2;Installation sanitaire et thermique;
2021/2022;22; Mahdia ;Installation sanitaire et thermique;
2021/2022;23; Kairouan ;Installation sanitaire et thermique;
2021/2022;24; Monastir ;Installation sanitaire et thermique;
2021/2022;25; Sousse ;Installation sanitaire et thermique;1
2021/2022;26; Nabeul ;Installation sanitaire et thermique;1
2021/2022;1;Tunis 1;Céramique;
2021/2022;2;Tunis 2;Céramique;
2021/2022;3; Ariana ;Céramique;
2021/2022;4; Mannouba ;Céramique;
2021/2022;5; Ben Arous ;Céramique;
2021/2022;6; Zaghouan ;Céramique;
2021/2022;7; Bizerte ;Céramique;
2021/2022;8; Béja ;Céramique;
2021/2022;9; Jendouba ;Céramique;
2021/2022;10; Siliana ;Céramique;
2021/2022;11; Le Kef ;Céramique;
2021/2022;12; Kasserine ;Céramique;
2021/2022;13; Sidi Bouzid ;Céramique;
2021/2022;14; Gafsa ;Céramique;
2021/2022;15; Tozeur ;Céramique;
2021/2022;16; Kébili ;Céramique;
2021/2022;17; Tataouine ;Céramique;
2021/2022;18; Médenine ;Céramique;
2021/2022;19; Gabès ;Céramique;
2021/2022;20;Sfax 1;Céramique;
2021/2022;21;Sfax 2;Céramique;
2021/2022;22; Mahdia ;Céramique;
2021/2022;23; Kairouan ;Céramique;
2021/2022;24; Monastir ;Céramique;
2021/2022;25; Sousse ;Céramique;
2021/2022;26; Nabeul ;Céramique;1
2021/2022;1;Tunis 1;Menuiserie métallique;
2021/2022;2;Tunis 2;Menuiserie métallique;
2021/2022;3; Ariana ;Menuiserie métallique;
2021/2022;4; Mannouba ;Menuiserie métallique;
2021/2022;5; Ben Arous ;Menuiserie métallique;
2021/2022;6; Zaghouan ;Menuiserie métallique;
2021/2022;7; Bizerte ;Menuiserie métallique;1
