Nom_Agence,Gouvernorat,Adresse,Code_Postal,Fax,Tel,latitude,longitude
Agence Lafayette PME,Tunis,7 rue de Koweit . 1002,1002,71 78 45 22,31 37 21 15 - 70 24 21 15,36.8137,10.182966666667
Agence la Goulette,Tunis,28 avenue Habib Bourguiba la Goulette 2060,2060,71 73 76 00,31 37 22 97 - 70 24 22 97,36.81799,10.305470833333
Agence Ksour Essef,Mahdia,80 rue Habib Thameur Ksour Essef 5180,5180,73 66 41 36,31 37 22 82 - 70 24 22 82,35.416697222222,10.998294444444
Agence Ksibet el Mediouni,Monastir,Angle avenue Habib Bourguiba et rue El Ommahet 5031,5031,73 46 98 98,31 37 20 27 - 70 24 20 27,35.685844444444,10.842294444444
Agence Ksar Hellal 2,Monastir,Angle av. Habib Bourguiba et rue Ben Arous 5070,5070,73 54 73 43,31 37 22 57 - 70 24 22 57,35.656827777778,10.876388888889
Agence Ksar Hellal,Monastir,Avenue Habib Bourguiba . 5070,5070,73 47 37 07,31 37 20 24 - 70 24 20 24,35.643038888889,10.890097222222
Agence Korba,Nabeul,Avenue Habib Bourguiba . 8070,8070,72 38 51 77,31 37 20 05 - 70 24 20 05,36.575969444444,10.859363888889
Agence Kelibia,Nabeul,Avenue Habib Bourguiba . 8090,8090,72 29 50 34,31 37 22 13 - 70 24 22 13,36.846372222222,11.087075
Agence Kebili,Kébili,Angle av Habib Bourguiba rue Abdallah Ben Abbes Kebili 4200,4200,75 49 00 81,31 37 22 84 - 70 24 22 84,33.705222222222,8.9730833333333
Agence Kasserine,Kasserine,Av Habib Bourguiba . 1200,1200,77 47 12 00,31 37 22 22 - 70 24 22 22,35.170155555556,8.8383805555556
Agence Kalaa Sghira,Sousse,Avenue Habib Bourguiba . 4021,4021,73 24 92 47,31 37 20 25 - 70 24 20 25,35.823230555556,10.562083333333
Agence Kalaa Kebira,Sousse,Rue 1er juin Kalaa Kebira Sousse 4060,4060,73 31 74 98,31 37 22 76 - 70 24 22 76,35.870586111111,10.536127777778
Agence Kairouan,Kairouan,Rue Abou Zomaa Balaoui . 3100,3100,77 22 70 92,31 37 20 10 - 70 24 20 10,35.671308333333,10.099605555556
